case_name,total_utterances,fragmentation_ratio,chaos_ratio,snr_db
subject01,528,0.5132575757575758,0.1500035265904923,16.532351517201306
subject02,912,0.5285087719298246,0.1500104237243967,16.248569896496655
subject03,824,0.5388349514563107,0.1500117910623747,15.33457915629311
subject04,446,0.6457399103139013,0.1500028517652427,11.711226779950843
subject05,754,0.5490716180371353,0.1500065777933696,10.977704376970983
subject06,723,0.6196403872752421,0.1500080541237113,16.254969362650428
subject07,617,0.4521880064829822,0.1500019757899867,17.08622922609947
subject08,321,0.6448598130841121,0.1500107457554266,9.600725627452892
subject09,675,0.6325925925925926,0.1500053954893709,14.492656366142851
subject10,511,0.6046966731898239,0.1500045774970246,13.18934961376142
subject11,609,0.5730706075533661,0.1500096581031485,14.596665319681744
subject12,834,0.5431654676258992,0.1499988212273381,17.133939956091513
subject13,708,0.4717514124293785,0.1500025306205081,15.579717660705777
subject14,932,0.5858369098712446,0.1500039402138222,14.993918290339352
subject15,272,0.6654411764705882,0.1500094540936225,11.722808020049698
subject16,696,0.5014367816091954,0.1500013378642335,15.463927515875636
subject17,274,0.6167883211678832,0.15,15.182487641082492
subject18,628,0.5159235668789809,0.15001035983148,17.02815161776234
subject19,256,0.57421875,0.1500028172188415,10.60836202610806
subject20,395,0.5417721518987342,0.1499983931612944,13.98764202819035
subject21,846,0.6725768321513003,0.1499979800972246,15.568457118748675
